,table_catalog,table_schema,table_name,partition_id,last_modified_time,total_rows
1493,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_ftth_l0_resources,,2022-01-27 09:54:51.907000 UTC,75657
1494,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_soartt_generalkpi_v2,__NULL__,2021-12-06 14:53:04.289000 UTC,0
1495,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20220911,,2022-09-13 00:43:58.169000 UTC,271767383
1496,edm-cloud-dwh-prod-9652,prd_xldim_acl_tb,dim_mba_comb_cz,,2022-03-29 13:38:52.004000 UTC,42
1497,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,cvm_gcg_hist,20230206,2023-04-10 02:57:27.602000 UTC,6197439
1498,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20221124,,2022-11-25 13:01:25.790000 UTC,285968106
1499,datamart-cloud-dwh-prod-ca76,prd_bca,colossus_monthly,201803,2022-04-04 06:14:36.897000 UTC,157774607
1500,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_ar1_credit_debit_link,20200814,2022-04-07 04:54:29.342000 UTC,118980887
1501,edm-cloud-dwh-prod-9652,prd_xldim_acl_tb,dim_compare_period,,2021-12-17 08:42:39.589000 UTC,3
1502,datamart-cloud-dwh-prod-ca76,prd_bca,colossus_l1_pktmultipay_d,20220222,2022-04-14 22:03:09.375000 UTC,80253
1503,edm-cloud-dwh-prod-9652,prd_xldf_itl_tb,adjust_balance_det_dwh,__NULL__,2022-01-22 14:20:34.382000 UTC,0
1504,datamart-cloud-dwh-prod-ca76,prd_bca,colossus_soc_sum_d,20210417,2022-02-26 20:32:43.983000 UTC,613964
1505,cvm-cloud-dwh-prod-4383,prd_xlcms_acl_tb,cms_ref_segmentasi,,2022-01-05 12:42:18.288000 UTC,0
1506,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,re_ari_pri_matrix_ts_upd,20200814,2021-11-19 10:31:56.007000 UTC,1426
1507,edm-cloud-dwh-prod-9652,prd_temp_tb,_bqc_f45899d2ee064a56af6bd24883ed75e5,,2023-04-17 23:07:35.930000 UTC,202249
1508,edm-cloud-dwh-prod-9652,xl_data_bicc,swe_usage_stats_7d_d5,20230414,2023-04-17 23:04:41.143000 UTC,49020463
1509,edm-cloud-dwh-dev-0051,dev_exc_campaign,xpf23_base,,2023-04-13 04:19:47.478000 UTC,0
1510,datamart-cloud-dwh-prod-ca76,prd_bca,f_m_colossus_usage_revenue,201709,2022-04-07 00:46:49.218000 UTC,77693076
1511,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20230129,,2023-01-30 14:11:06.884000 UTC,298985688
1512,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_m_power_ecity_power_profile_copy,20220301,2022-12-13 07:08:10.510000 UTC,41687
1513,cvm-cloud-dwh-prod-4383,prd_cvm_ops_tb,f_d_medallia_mccm_nbos_v2,20230409,2023-04-11 07:39:36.585000 UTC,40726
1514,edm-cloud-dwh-dev-0051,cvmdm_ref,dim_mccm_traffic_distribution_hist,__NULL__,2022-10-12 06:48:23.504000 UTC,0
1515,edm-cloud-dwh-prod-9652,prd_c360,f_d_c360_df_geolocation,20230414,2023-04-17 02:38:20.095000 UTC,85013717
1516,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_d_finance_151_matrix_ifrs,20230415,2023-04-17 23:02:29.456000 UTC,293324
1517,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,tirnab_lokasi_r,20170406,2023-04-09 12:36:37.235000 UTC,12
1518,datamart-cloud-dwh-prod-ca76,prd_bca,colossus_postpaid,20210401,2022-02-26 16:42:50.838000 UTC,1219633
1519,datamart-cloud-dwh-prod-ca76,prd_cvmdm_acl_tb,f_d_subs_balance_summary_d3,,2022-11-15 17:04:40.466000 UTC,136367096
1520,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20230412,,2023-04-13 13:02:50.259000 UTC,311631671
1521,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,tono_nbo_rpt_trx_perf_v2,20220221,2022-06-15 04:36:46.336000 UTC,9243
